Role Adoption,Demographic Priming,gender,race,prompt_version,model,task,% English,% Non-\nEnglish,is Hispanic
Direct,Explicit,M,Asian,v1,OLMo-2-0325-32B-Instruct,Bio,0.99,0.010000000000000009,Non-Hispanic
Direct,Explicit,M,Asian,v1,OLMo-2-0325-32B-Instruct,SD,0.99,0.010000000000000009,Non-Hispanic
Direct,Explicit,M,Asian,v1,OLMo-2-1124-7B-Instruct,Bio,0.98,0.020000000000000018,Non-Hispanic
Direct,Explicit,M,Asian,v1,OLMo-2-1124-7B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Asian,v1,gemma-3-27b-it,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Asian,v1,gemma-3-27b-it,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Asian,v2,Llama-3.1-8B-Instruct,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Asian,v2,Llama-3.1-8B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Asian,v2,Llama-3.3-70B-Instruct,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Asian,v2,Llama-3.3-70B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Asian,v2,OLMo-2-0325-32B-Instruct,Bio,0.99,0.010000000000000009,Non-Hispanic
Direct,Explicit,M,Asian,v2,OLMo-2-0325-32B-Instruct,SD,0.95,0.050000000000000044,Non-Hispanic
Direct,Explicit,M,Asian,v2,OLMo-2-1124-7B-Instruct,Bio,0.96,0.040000000000000036,Non-Hispanic
Direct,Explicit,M,Asian,v2,OLMo-2-1124-7B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Asian,v2,gemma-3-27b-it,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Asian,v2,gemma-3-27b-it,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Black,v1,Llama-3.1-8B-Instruct,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Black,v1,Llama-3.1-8B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Black,v1,Llama-3.3-70B-Instruct,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Black,v1,Llama-3.3-70B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Black,v1,OLMo-2-0325-32B-Instruct,Bio,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Black,v1,OLMo-2-0325-32B-Instruct,SD,1.0,0.0,Non-Hispanic
Direct,Explicit,M,Black,v1,OLMo-2-1124-7B-Instruct,Bio,0.99,0.010000000000000009,Non-Hispanic
Direct,Explicit,M,Black,v1,OLMo-2-1124-7B-Instruct,SD,1.0,0.0,Non-Hispanic
